brand_name,active_ingredient,strength
Prostin E2 Vaginal Gel,Dinoprostone,1mg
Prostin E2 Vaginal Gel,Dinoprostone,2mg
Aurorix,Moclobemide,150mg
Technescan Mag3,Technetium (99mtc) Mertiatide,
Ceretec,Technetium (99mtc) Exametazime,
Zofran,Ondansetron,4 Mg/2 Ml
Zofran,Ondansetron,4 Mg
Zofran,Ondansetron,4 Mg
Zofran,Ondansetron,8 Mg
Zofran,Ondansetron,8 Mg
Visine Clear,Tetryzoline Hydrochloride,0.5mg/Ml
Cymevene,Ganciclovir,500mg
Noriday 28 Day,Norethisterone,350 Microgram
Pulmicort Turbuhaler,Budesonide,100 Microgram/Actuation
Pulmicort Turbuhaler,Budesonide,400 Microgram/Actuation
Pulmicort Turbuhaler,Budesonide,200 Microgram/Actuation
Pulmicort Respules,Budesonide,0.5mg/mL
Pulmicort Respules,Budesonide,0.25mg/mL
Goanna Tea Tree Oil Antiseptic,Goanna Tea Tree Oil Antiseptic,
Cepacaine Oral Solution,Cepacaine,
Cepacol Plus With Anaesthetic,Cepacol Plus With Anaesthetic,
Cepacol Antibacterial Solution,Cetylpyridinium Chloride,500 Microgram/Ml
Cepacol Antibacterial Throat Lozenges,Cepacol Antibacterial Throat Lozenges,
Cepacol Cough +,Cepacol Cough +,
Cepacol Mint Mouthwash,Cetylpyridinium Chloride,500 Microgram/Ml
Mersyndol Forte,Paracetamol / Codeine Phosphate Hemihydrate / Doxylamine Succinate,450 Mg / 30 Mg / 5 Mg
Mersyndol,Mersyndol,
Rifadin,Rifampicin,20 Mg/Ml
Dencorub Extra Strength Heat Gel,Dencorub Extra Strength Heat Gel,
Dencorub Arthritis Cream,Trolamine Salicylate,100 Mg/G
Goanna Heat Cream,Goanna Heat Cream,
Magnesia San Pellegrino Lemon Effervescent Powder,Magnesia San Pellegrino Lemon Effervescent Powder,
Naprosyn Sr 1000,Naproxen,1000 Mg Sustained Release
Naprosyn Sr 750,Naproxen,750 Mg Sustained Release
Diflucan,Fluconazole,150 Mg
Serenace Liquid,Haloperidol,2 Mg/Ml
Serenace,Haloperidol,1.5 Mg
Serenace,Haloperidol,0.5 Mg
Serenace,Haloperidol,20 Mg/2 Ml
Serenace,Haloperidol,20 Mg
Metamucil Orange Granular,Metamucil Orange Granular,
Metamucil Natural Granular,Metamucil Natural Granular,
Naphcon Forte,Naphazoline Hydrochloride,1mg/Ml Eye Drops
Vepesid,Etoposide,50mg Capsule
Vepesid,Etoposide,100mg Capsule
Serenace,Haloperidol,5.0 Mg
Vicks Inhaler,Vicks Inhaler,
Stingose Gel,Aluminium Sulfate Hydrate,200 Mg/Ml
Hydrozole,Hydrocortisone / Clotrimazole,
Bonjela Teething & Mouth Ulcer Gel,Choline Salicylate,87 Mg/G
Benpen,Benzylpenicillin Sodium,1.2g
Benpen,Benzylpenicillin Sodium,3g
Benpen,Benzylpenicillin Sodium,600mg
Oxy 10 Vanishing Cream,Benzoyl Peroxide,100mg/g
Oxy 5 Camouflage Cream,Benzoyl Peroxide,50mg/g
Oxy 5 Vanishing Cream,Benzoyl Peroxide,50 Mg/G Cream
Zostrix Hp,Capsaicin,0.075% W/W Cream
Ativan,Lorazepam,1 Mg Tablet
Ativan,Lorazepam,2.5 Mg Tablet
De-Gas,Simethicone,100 Mg Capsule
Serepax,Oxazepam,30 Mg
Triphasil,Ethinylestradiol/Levonorgestrel,
Auralgan Ear Drops,Auralgan Ear Drops,
Cosmegen,Dactinomycin (Actinomycin D),0.5 Mg
Indocid,Indometacin,100 Mg
Moduretic,Hydrochlorothiazide / Amiloride Hydrochloride Dihydrate,
Pneumovax 23,Pneumococcal Purified Capsular Polysaccharides,25 Microgram/0.5ml
Primaxin,Imipenem And Cilastatin (As Sodium),500mg/500mg
Renitec M,Enalapril Maleate,5mg
Renitec 20,Enalapril Maleate,20mg
Renitec,Enalapril Maleate,10 Mg
Glucophage,Metformin Hydrochloride,500 Mg
Hiprex,Methenamine Hippurate,1 G
Toppin,Ichthammol,100 Mg/G
Norflex,Orphenadrine Citrate,100 Mg
Norgesic,Paracetamol And Orphenadrine Citrate,
Nuelin Syrup,Theophylline,26.67 Mg/5 Ml
Rikodeine,Rikodeine,9.5 Mg/5 Ml
Toppin Salt,Toppin Salt,600 Mg
Tambocor,Flecainide Acetate,150 Mg/15 Ml
Dermaid Cream,Dermaid,0.5%
Egozite Cradle Cap Lotion,Salicylic Acid,60mg/g
Egoderm Cream,Egoderm,
Egopsoryl Ta Gel,Egopsoryl Ta,
Egocort,Hydrocortisone,10mg/g
Soov,Soov,
Pinetarsol,Pinetarsol,
Ego Pine Tar,Pine Tar,10 Mg/G
Ego Emollient Bath Oil,Ego Emollient Bath Oil,
Ego Emollient,Ego Emollient,
Aqium Skin Lotion,Aqium Skin Lotion,
Pinetarsol Bath Oil,Tar,2.3% W/W
Ego Silicon Cream,Dimeticone 350,150mg/G
Ego Silicon Lotion,Dimeticone 350,150mg/G
Deca-Durabolin Orgajet,Nandrolone Decanoate,50mg/1mL
Pinetarsol Solution Sachet,Pinetarsol,
Ego Silicon Cream,Dimeticone,350 150mg/g Cream Jar
